PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
,,,
TAYLOR (ROBERT ROCHON),271,GYMNASIUM,INDOOR
,,,
TAYLOR (ROBERT ROCHON),271,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,POOL (OUTDOOR),OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,PLAYGROUND,OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,BASEBALL SR,OUTDOOR
,,,
TAYLOR (ROBERT ROCHON),271,TENNIS COURT,OUTDOOR
,,,
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,GYMNASIUM,INDOOR
,,,
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,PLAYGROUND,OUTDOOR
,,,
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025,BASEBALL SR,OUTDOOR
,,,
THE GROVE,397,PLAYGROUND PARK,OUTDOOR
,,,
THILLENS,538,BASEBALL SR,OUTDOOR
,,,
THILLENS,538,BASEBALL SR,OUTDOOR
,,,
THROOP (AMOS GAGER),1159,BASKETBALL COURT,OUTDOOR
,,,
THROOP (AMOS GAGER),1159,PLAYGROUND,OUTDOOR
,,,
THROOP (AMOS GAGER),1159,SPRAY FEATURE,OUTDOOR
,,,
THUIS (GRACE ZWIEFKA),1119,PLAYGROUND,OUTDOOR
,,,
TILL-MOBLEY (MAMIE),1154,BASKETBALL COURT,OUTDOOR
,,,
TILL-MOBLEY (MAMIE),1154,BASKETBALL COURT,OUTDOOR
,,,
TILL-MOBLEY (MAMIE),1154,PLAYGROUND,OUTDOOR
,,,
TILTON (GEORGE),1064,BASKETBALL COURT,OUTDOOR
,,,
TILTON (GEORGE),1064,PLAYGROUND,OUTDOOR
,,,
TILTON (GEORGE),1064,SPRAY FEATURE,OUTDOOR
,,,
TOM (PING) MEML.,481,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TOM (PING) MEML.,481,PLAYGROUND,OUTDOOR
,,,
TOUHY (PATRICK),246,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
TOUHY (PATRICK),246,GYMNASIUM,INDOOR
,,,
TOUHY (PATRICK),246,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TOUHY (PATRICK),246,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TOUHY (PATRICK),246,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TOUHY (PATRICK),246,PLAYGROUND,OUTDOOR
,,,
TOUHY (PATRICK),246,TENNIS COURT,OUTDOOR
,,,
TOUHY (PATRICK),246,TENNIS COURT,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,BASKETBALL COURT,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,BASKETBALL COURT,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,PLAYGROUND,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,SPRAY FEATURE,OUTDOOR
,,,
TREBES,1017,BASKETBALL COURT,OUTDOOR
,,,
TREBES,1017,GYMNASIUM,INDOOR
,,,
TREBES,1017,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TREBES,1017,PLAYGROUND,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASKETBALL COURT,OUTDOOR
,,,
TRUMBULL (LYMAN),16,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
TRUMBULL (LYMAN),16,FITNESS CENTER,INDOOR
,,,
TRUMBULL (LYMAN),16,GYMNASIUM,INDOOR
,,,
TRUMBULL (LYMAN),16,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TRUMBULL (LYMAN),16,POOL (OUTDOOR),OUTDOOR
,,,
TRUMBULL (LYMAN),16,PLAYGROUND,OUTDOOR
,,,
TRUMBULL (LYMAN),16,SPORT ROLLER COURT,OUTDOOR
,,,
TRUMBULL (LYMAN),16,SPRAY FEATURE,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASEBALL SR,OUTDOOR
,,,
TRUMBULL (LYMAN),16,TENNIS COURT,OUTDOOR
,,,
TRUMBULL (LYMAN),16,TENNIS COURT,OUTDOOR
,,,
TRUMBULL (LYMAN),16,TRACK,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL COURT,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL COURT,OUTDOOR
,,,
TULEY (MURRAY),18,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
TULEY (MURRAY),18,GYMNASIUM,INDOOR
,,,
TULEY (MURRAY),18,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TULEY (MURRAY),18,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TULEY (MURRAY),18,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
TULEY (MURRAY),18,POOL (OUTDOOR),OUTDOOR
,,,
TULEY (MURRAY),18,PLAYGROUND,OUTDOOR
,,,
TULEY (MURRAY),18,SPRAY FEATURE,OUTDOOR
,,,
TULEY (MURRAY),18,BASEBALL SR,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
TULEY (MURRAY),18,TENNIS COURT,OUTDOOR
,,,
UNION,210,BASKETBALL COURT,OUTDOOR
,,,
UNION,210,BASKETBALL COURT,OUTDOOR
,,,
UNION,210,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
UNION,210,FITNESS CENTER,INDOOR
,,,
UNION,210,GYMNASIUM,INDOOR
,,,
UNION,210,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
UNION,210,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
UNION,210,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
UNION,210,POOL (OUTDOOR),OUTDOOR
,,,
UNION,210,PLAYGROUND,OUTDOOR
,,,
UNION,210,SPRAY FEATURE,OUTDOOR
,,,
UNION,210,BASEBALL SR,OUTDOOR
,,,
UNION,210,TENNIS COURT,OUTDOOR
,,,
UNION,210,TENNIS COURT,OUTDOOR
,,,
UNITY,293,PLAYGROUND,OUTDOOR
,,,
UNITY,293,SPRAY FEATURE,OUTDOOR
,,,
VALLEY FORGE,371,VOLLEYBALL,OUTDOOR
,,,
VALLEY FORGE,371,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
VALLEY FORGE,371,FITNESS CENTER,INDOOR
,,,
VALLEY FORGE,371,HORSESHOE COURT,OUTDOOR
,,,
VALLEY FORGE,371,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VALLEY FORGE,371,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VALLEY FORGE,371,PLAYGROUND,OUTDOOR
,,,
VALLEY FORGE,371,TENNIS COURT,OUTDOOR
,,,
VALLEY FORGE,371,TENNIS COURT,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,BOCCE COURT,SPECIAL
,,,
VETERANS' MEMORIAL,1067,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,PLAYGROUND,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,SPORT ROLLER COURT,OUTDOOR
,,,
VETERANS' MEMORIAL,1067,SPRAY FEATURE,OUTDOOR
,,,
VIOLET,361,PLAYGROUND,OUTDOOR
,,,
VIOLET,361,SPRAY FEATURE,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASKETBALL COURT,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,GYMNASIUM,INDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,HORSESHOE COURT,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,HORSESHOE COURT,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,PLAYGROUND,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,SPRAY FEATURE,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASEBALL SR,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,TENNIS COURT,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,TENNIS COURT,OUTDOOR
,,,
VOGLE (HENRY JR.),402,PLAYGROUND PARK,OUTDOOR
,,,
WAGNER (CLARENCE),1068,PLAYGROUND,OUTDOOR
,,,
WAGNER (CLARENCE),1068,SPRAY FEATURE,OUTDOOR
,,,
WALLACE,1069,PLAYGROUND,OUTDOOR
,,,
WALLACE,1069,SPRAY FEATURE,OUTDOOR
,,,
WALNUT,1278,PLAYGROUND,OUTDOOR
,,,
WALNUT,1278,SPORT ROLLER COURT,OUTDOOR
,,,
WASHINGTON (GEORGE),21,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (GEORGE),21,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (GEORGE),21,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (GEORGE),21,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (GEORGE),21,WATER SLIDE,OUTDOOR
,,,
WASHINGTON (HAROLD),494,PLAYGROUND,OUTDOOR
,,,
WASHINGTON (HAROLD),494,SPRAY FEATURE,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD),494,TENNIS COURT,OUTDOOR
,,,
WASHINGTON (HAROLD) MEM.,506,PLAYGROUND PARK,OUTDOOR
,,,
WASHTENAW,1070,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WASHTENAW,1070,PLAYGROUND,OUTDOOR
,,,
WASHTENAW,1070,SPRAY FEATURE,OUTDOOR
,,,
WEISMAN (ALBERT),1135,PLAYGROUND PARK,OUTDOOR
,,,
WEISMAN (ALBERT),1135,SPRAY FEATURE,OUTDOOR
,,,
WELLES (GIDEON),110,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WELLES (GIDEON),110,FITNESS CENTER,INDOOR
,,,
WELLES (GIDEON),110,GYMNASIUM,INDOOR
,,,
WELLES (GIDEON),110,HORSESHOE COURT,OUTDOOR
,,,
WELLES (GIDEON),110,POOL (INDOOR),INDOOR
,,,
WELLES (GIDEON),110,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WELLES (GIDEON),110,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WELLES (GIDEON),110,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WELLES (GIDEON),110,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WELLES (GIDEON),110,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WELLES (GIDEON),110,PLAYGROUND,OUTDOOR
,,,
WELLES (GIDEON),110,VOLLEYBALL (SAND),OUTDOOR
,,,
WELLES (GIDEON),110,TENNIS COURT,OUTDOOR
,,,
WELLES (GIDEON),110,TENNIS COURT,OUTDOOR
,,,
WELLES (GIDEON),110,TENNIS COURT,OUTDOOR
,,,
WENDT (KENNETH),1145,PLAYGROUND PARK,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WENTWORTH (JOHN),238,PLAYGROUND,OUTDOOR
,,,
WENTWORTH (JOHN),238,SPRAY FEATURE,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASEBALL SR,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASEBALL SR,OUTDOOR
,,,
AUBURN,1203,LAGOON,OUTDOOR
,,,
COLUMBUS (CHRISTOPHER),209,LAGOON,OUTDOOR
,,,
DOUGLAS (STEPHEN),218,LAGOON,OUTDOOR
,,,
GARFIELD (JAMES),204,LAGOON,OUTDOOR
,,,
HUMBOLDT (BARON VON),219,LAGOON,OUTDOOR
,,,
INDIAN BOUNDARY,165,LAGOON,OUTDOOR
,,,
WENTWORTH (JOHN),238,TENNIS COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,TENNIS COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,TENNIS COURT,OUTDOOR
,,,
WENTWORTH (JOHN),238,TENNIS COURT,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,BASKETBALL COURT,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,GYMNASIUM,INDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,PLAYGROUND,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,POOL (OUTDOOR),OUTDOOR
,,,
WESOLEK (MARLENE),1080,PLAYGROUND,OUTDOOR
,,,
WEST CHATHAM,249,BASKETBALL COURT,OUTDOOR
,,,
WEST CHATHAM,249,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WEST CHATHAM,249,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST CHATHAM,249,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST CHATHAM,249,PLAYGROUND,OUTDOOR
,,,
WEST CHATHAM,249,SPRAY FEATURE,OUTDOOR
,,,
WEST CHATHAM,249,BASEBALL SR,OUTDOOR
,,,
WEST CHATHAM,249,TENNIS COURT,OUTDOOR
,,,
WEST CHATHAM,249,TENNIS COURT,OUTDOOR
,,,
WEST LAWN,245,BASEBALL BATTING CAGE,SPECIAL
,,,
WEST LAWN,245,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WEST LAWN,245,FITNESS CENTER,INDOOR
,,,
WEST LAWN,245,GYMNASIUM,INDOOR
,,,
WEST LAWN,245,ICESKATING,OUTDOOR
,,,
WEST LAWN,245,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST LAWN,245,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST LAWN,245,PLAYGROUND,OUTDOOR
,,,
WEST LAWN,245,SPRAY FEATURE,OUTDOOR
,,,
WEST LAWN,245,BASEBALL SR,OUTDOOR
,,,
WEST LAWN,245,BASEBALL SR,OUTDOOR
,,,
WEST PULLMAN,225,BASKETBALL COURT,OUTDOOR
,,,
WEST PULLMAN,225,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WEST PULLMAN,225,GYMNASIUM,INDOOR
,,,
WEST PULLMAN,225,POOL (INDOOR),INDOOR
,,,
WEST PULLMAN,225,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST PULLMAN,225,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WEST PULLMAN,225,PLAYGROUND,OUTDOOR
,,,
WEST PULLMAN,225,SPRAY FEATURE,OUTDOOR
,,,
WEST PULLMAN,225,BASEBALL SR,OUTDOOR
,,,
WEST PULLMAN,225,TENNIS COURT,OUTDOOR
,,,
WEST PULLMAN,225,TENNIS COURT,OUTDOOR
,,,
WEST PULLMAN,225,TENNIS COURT,OUTDOOR
,,,
WEST PULLMAN,225,TENNIS COURT,OUTDOOR
,,,
WEST PULLMAN,225,TENNIS COURT,OUTDOOR
,,,
WESTERN,1165,PLAYGROUND PARK,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL COURT,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL COURT,OUTDOOR
,,,
WHITE (EDWARD),379,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
WHITE (EDWARD),379,GYMNASIUM,INDOOR
,,,
WHITE (EDWARD),379,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WHITE (EDWARD),379,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
LOYOLA,115,BASKETBALL BACKBOARD,OUTDOOR
,,,
LUELLA,1122,BASKETBALL BACKBOARD,OUTDOOR
,,,
LUELLA,1122,BASKETBALL BACKBOARD,OUTDOOR
,,,
MANDRAKE (HENRY BROWN),504,BASKETBALL BACKBOARD,OUTDOOR
,,,
MANDRAKE (HENRY BROWN),504,BASKETBALL BACKBOARD,OUTDOOR
,,,
MANDRAKE (HENRY BROWN),504,BASKETBALL BACKBOARD,OUTDOOR
,,,
MANDRAKE (HENRY BROWN),504,BASKETBALL BACKBOARD,OUTDOOR
,,,
MAPLEWOOD,1045,BASKETBALL BACKBOARD,OUTDOOR
,,,
MAPLEWOOD,1045,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARQUETTE (JACQUES),10,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARSHFIELD,1046,BASKETBALL BACKBOARD,OUTDOOR
,,,
MARSHFIELD,1046,BASKETBALL BACKBOARD,OUTDOOR
,,,
MATHER (STEPHEN TYNG),241,BASKETBALL BACKBOARD,OUTDOOR
,,,
MATHER (STEPHEN TYNG),241,BASKETBALL BACKBOARD,OUTDOOR
,,,
MATHER (STEPHEN TYNG),241,BASKETBALL BACKBOARD,OUTDOOR
,,,
MATHER (STEPHEN TYNG),241,BASKETBALL BACKBOARD,OUTDOOR
,,,
"TOUHY-HERBERT (JOHN, VICTOR)",1065,BASKETBALL BACKBOARD,OUTDOOR
,,,
TREBES,1017,BASKETBALL BACKBOARD,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASKETBALL BACKBOARD,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASKETBALL BACKBOARD,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASKETBALL BACKBOARD,OUTDOOR
,,,
TRUMBULL (LYMAN),16,BASKETBALL BACKBOARD,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL BACKBOARD,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL BACKBOARD,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL BACKBOARD,OUTDOOR
,,,
TULEY (MURRAY),18,BASKETBALL BACKBOARD,OUTDOOR
,,,
UNION,210,BASKETBALL BACKBOARD,OUTDOOR
,,,
UNION,210,BASKETBALL BACKBOARD,OUTDOOR
,,,
UNION,210,BASKETBALL BACKBOARD,OUTDOOR
,,,
UNION,210,BASKETBALL BACKBOARD,OUTDOOR
,,,
VALLEY FORGE,371,BASKETBALL BACKBOARD,OUTDOOR
,,,
VALLEY FORGE,371,BASKETBALL BACKBOARD,OUTDOOR
,,,
VALLEY FORGE,371,BASKETBALL BACKBOARD,OUTDOOR
,,,
VALLEY FORGE,371,BASKETBALL BACKBOARD,OUTDOOR
,,,
VALLEY FORGE,371,BASKETBALL COURT,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASKETBALL BACKBOARD,OUTDOOR
,,,
VITTUM (HARRIET ELIZABETH),233,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WARREN (LAURENCE),428,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WASHINGTON (GEORGE),21,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN) GARDENS,286,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WENTWORTH (JOHN),238,BASKETBALL BACKBOARD,OUTDOOR
,,,
WEST CHATHAM,249,BASKETBALL BACKBOARD,OUTDOOR
,,,
WEST CHATHAM,249,BASKETBALL BACKBOARD,OUTDOOR
,,,
WEST PULLMAN,225,BASKETBALL BACKBOARD,OUTDOOR
,,,
WEST PULLMAN,225,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (EDWARD),379,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (WILLYE B.),1043,BASKETBALL BACKBOARD,OUTDOOR
,,,
WHITE (EDWARD),379,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WHITE (EDWARD),379,PLAYGROUND,OUTDOOR
,,,
WHITE (EDWARD),379,SPRAY FEATURE,OUTDOOR
,,,
WHITE (EDWARD),379,TENNIS COURT,OUTDOOR
,,,
WHITE (EDWARD),379,TENNIS COURT,OUTDOOR
,,,
WHITE (WILLYE B.),1043,BASKETBALL COURT,OUTDOOR
,,,
WHITE (WILLYE B.),1043,BASKETBALL COURT,OUTDOOR
,,,
WHITE (WILLYE B.),1043,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
WHITE (WILLYE B.),1043,PLAYGROUND,OUTDOOR
,,,
WHITE (WILLYE B.),1043,FITNESS CENTER,INDOOR
,,,
"WICKER (CHARLES, JOEL)",214,CHESS PAVILLION,SPECIAL
,,,
"WICKER (CHARLES, JOEL)",214,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
"WICKER (CHARLES, JOEL)",214,COMMUNITY GARDEN,OUTDOOR
,,,
"WICKER (CHARLES, JOEL)",214,DOG FRIENDLY AREA,OUTDOOR
,,,
"WICKER (CHARLES, JOEL)",214,GYMNASIUM,INDOOR
,,,
"WICKER (CHARLES, JOEL)",214,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"WICKER (CHARLES, JOEL)",214,PLAYGROUND,OUTDOOR
,,,
"WICKER (CHARLES, JOEL)",214,SPRAY FEATURE,OUTDOOR
,,,
WIEBOLDT (WILLIAM),449,PLAYGROUND PARK,OUTDOOR
,,,
WILDWOOD,257,BASKETBALL COURT,OUTDOOR
,,,
