PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR
,,,
AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR
,,,
AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR
,,,
AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR
,,,
AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR
,,,
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR
,,,
AUSTIN TOWN HALL,207,BASKETBALL COURT,OUTDOOR
,,,
AUSTIN TOWN HALL,207,FITNESS CENTER,INDOOR
,,,
AUSTIN TOWN HALL,207,GYMNASIUM,INDOOR
,,,
AUSTIN TOWN HALL,207,POOL (INDOOR),INDOOR
,,,
AUSTIN TOWN HALL,207,PLAYGROUND,OUTDOOR
,,,
AVALON,29,BASKETBALL COURT,OUTDOOR
,,,
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
AVALON,29,FITNESS CENTER,INDOOR
,,,
AVALON,29,GYMNASIUM,INDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AVALON,29,POOL (OUTDOOR),OUTDOOR
,,,
AVALON,29,PLAYGROUND,OUTDOOR
,,,
AVALON,29,SPRAY FEATURE,OUTDOOR
,,,
AVALON,29,BASEBALL SR,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TENNIS COURT,OUTDOOR
,,,
AVALON,29,TRACK,OUTDOOR
,,,
AVONDALE,81,BASKETBALL COURT,OUTDOOR
,,,
AVONDALE,81,GYMNASTIC CENTER,INDOOR
,,,
AVONDALE,81,GYMNASIUM,INDOOR
,,,
AVONDALE,81,POOL (OUTDOOR),OUTDOOR
,,,
AVONDALE,81,PLAYGROUND,OUTDOOR
,,,
AVONDALE,81,SPRAY FEATURE,OUTDOOR
,,,
BACK OF THE YARDS,1063,BASKETBALL COURT,OUTDOOR
,,,
BACK OF THE YARDS,1063,HORSESHOE COURT,OUTDOOR
,,,
BACK OF THE YARDS,1063,PLAYGROUND,OUTDOOR
,,,
BACK OF THE YARDS,1063,SPRAY FEATURE,OUTDOOR
,,,
BARAGA (FREDERICK),295,BASKETBALL COURT,OUTDOOR
,,,
BARAGA (FREDERICK),295,PLAYGROUND PARK,OUTDOOR
,,,
BARNARD (ERASTUS),1205,PLAYGROUND,OUTDOOR
,,,
BARRETT (JOHN),1022,BASKETBALL COURT,OUTDOOR
,,,
BARRETT (JOHN),1022,PLAYGROUND,OUTDOOR
,,,
BARTELME (MARY),542,PLAYGROUND,OUTDOOR
,,,
BARTELME (MARY),542,DOG FRIENDLY AREA,OUTDOOR
,,,
BAULER (MATHIAS),365,PLAYGROUND,OUTDOOR
,,,
BEEHIVE,328,PLAYGROUND PARK,OUTDOOR
,,,
BEILFUSS (A.W.),1003,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BEILFUSS (A.W.),1003,PLAYGROUND,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,BASKETBALL COURT,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,PLAYGROUND,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,SPRAY FEATURE,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR
,,,
"BELL (GEORGE,JR.)",121,VOLLEYBALL,OUTDOOR
,,,
BERGER (ALBERT),1255,CULTURAL CENTER,SPECIAL
,,,
BERGER (ALBERT),1255,GALLERY,SPECIAL
,,,
BERGER (ALBERT),1255,PLAYGROUND,OUTDOOR
,,,
BESSEMER (HENRY),12,ARTIFICIAL TURF FIELD,OUTDOOR
,,,
BESSEMER (HENRY),12,BASKETBALL COURT,OUTDOOR
,,,
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BESSEMER (HENRY),12,GARDEN,OUTDOOR
,,,
BESSEMER (HENRY),12,GYMNASIUM,INDOOR
,,,
BESSEMER (HENRY),12,HANDBALL/RACQUET (OUT),OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BESSEMER (HENRY),12,POOL (OUTDOOR),OUTDOOR
,,,
BESSEMER (HENRY),12,PLAYGROUND,OUTDOOR
,,,
BESSEMER (HENRY),12,SPRAY FEATURE,OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR
,,,
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR
,,,
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR
,,,
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR
,,,
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR
,,,
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR
,,,
BESSEMER (HENRY),12,TRACK,OUTDOOR
,,,
